Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
4884,1.1,0.6,1.64,3.58,439,149.0909,325.4545,,149.0909090909091,1,1.1000000000000005,-5.295409196883467e-16,149.090909090909,0.8656357655048552,0.31905690807936793,1.1660845037557985,2.408424462276727,0.7419999999999991,206.53944499901348
4887,1.11,0.62,1.91,2.4,439,172.0721,216.2162,,172.07207207207205,1,1.1100000000000005,-5.295409196883467e-16,172.072072072072,0.8663965298748764,0.32156245921345317,1.1878551397512072,2.8152923226884536,0.7419999999999991,237.00636790426387
4890,1.12,0.21,1.75,2.94,436,156.25,262.5,0.88,156.24999999999997,1,1.1200000000000006,-5.295409196883467e-16,156.24999999999991,0.8671568273750498,0.3240757491364761,1.1921580860321692,2.589047512001967,0.6879999999999988,217.1731704323737
4893,1.21,0.59,1.86,3.19,441,153719,263.6364,,153.71900826446284,1,1.2100000000000004,-5.295409196883467e-16,153.71900826446276,0.8679166585780447,0.32659669491911814,1.2875796716842478,2.762089205630788,0.7779999999999996,214.51792587077537
4896,1.16,0.73,2.01,4.04,438,173.2759,348.2759,,173.2758620689655,1,1.1600000000000004,-5.295409196883467e-16,173.27586206896544,0.8686760240554801,0.3291252131425253,1.2448035810233893,2.9960881514347597,0.7239999999999993,240.68762310047248
4899,0.99,0.73,1.55,4.09,437,156.5657,413.1313,,156.56565656565658,1,0.9900000000000005,-5.295409196883467e-16,156.56565656565647,0.8694349243779236,0.33166121990128516,1.0561497461007894,2.3191830941952256,0.7059999999999995,219.5884724450716
4902,1.15,0.73,2.02,3.73,438,175.6522,324.3478,,175.6521739130435,1,1.1500000000000004,-5.295409196883467e-16,175.6521739130434,0.8701933601148948,0.33420463080784657,1.2372010097252315,3.0339652293631576,0.7239999999999993,245.22815658200662
4905,1.32,0.65,2.0,3.75,440,151.5152,284.0909,,151.5151515151515,1,1.3200000000000005,-5.295409196883467e-16,151.51515151515144,0.8709513318348652,0.33675536099587333,1.4073311575925604,3.015478576657679,0.7599999999999989,214.26929691630522
4908,1.3,0.84,2.35,3.21,441,180.7692,246.9231,,180.7692307692308,1,1.3000000000000005,-5.295409196883467e-16,180.7692307692307,0.8717088401052706,0.33931332512378987,1.4037938641949552,3.5569053976157594,0.7779999999999996,253.37804134480714
4911,1.43,0.81,2.65,3.06,441,185.3147,213986,,185.3146853146853,1,1.4300000000000004,-5.295409196883467e-16,185.31468531468528,0.8724658854925007,0.3418784373787176,1.5483886082812417,4.026611724200486,0.7779999999999996,260.05175333020225
